,Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
4853,Beef Steak,339,23.5,46.8,13.7,3.3,17.3,567,192,826
4854,Milkshake,204,29.1,67.5,45.6,9.3,37.5,58,254,895
4855,Yogurt,66,29.9,68.1,41.8,1.6,45.7,80,119,719
4856,Butter,271,31.9,66.4,29.5,2.4,33.9,996,253,380
4857,Grapes,287,25.3,10.8,45.4,7.1,44.9,448,260,970
4858,Cookies,227,43.5,75.9,10.5,0.3,27.9,811,149,897
4859,Oats,190,2.6,47.6,32.0,4.4,42.8,153,97,100
4860,Butter,476,31.0,63.5,48.6,9.7,6.1,797,17,302
4861,Strawberry,191,26.8,79.4,28.6,4.8,18.2,119,190,226
4862,Banana,169,34.4,93.0,45.9,8.1,8.6,307,146,577
4863,Quinoa,522,24.9,66.7,39.4,2.1,46.8,778,18,970
4864,Banana,143,30.1,60.4,43.6,5.7,1.1,825,81,576
4865,Orange,428,5.9,16.4,34.5,5.7,39.3,322,88,908
4866,Green Tea,568,33.4,51.1,32.5,2.4,21.6,992,189,218
4867,Pasta,584,8.5,15.9,47.7,7.9,0.9,344,294,159
4868,Banana,57,19.0,10.0,1.8,2.5,24.2,888,6,629
4869,Green Tea,154,40.2,83.7,8.8,2.1,33.1,957,165,453
4870,Butter,157,24.4,86.1,24.3,0.3,20.9,982,252,957
4871,Green Tea,89,49.9,58.6,5.8,2.5,41.1,720,227,242
4872,Grapes,51,30.2,9.7,9.9,0.1,41.4,54,280,257
4873,Paneer,226,6.1,98.4,46.8,2.6,3.2,714,2,649
4874,Pork Chop,136,33.8,55.8,19.1,1.3,44.3,980,97,117
4875,Yogurt,518,14.2,44.3,12.9,5.4,32.3,743,40,820
4876,Apple,69,34.6,72.7,3.0,7.0,10.0,373,281,407
4877,Chocolate,472,21.5,56.0,3.0,7.9,43.4,661,42,289
4878,Chocolate,525,30.6,17.6,18.7,7.4,7.8,385,14,586
4879,Yogurt,597,26.1,83.5,16.5,8.8,28.8,764,156,681
4880,Nuts,589,29.6,73.9,43.8,1.9,41.2,110,228,683
4881,Spinach,567,7.1,79.0,33.2,0.1,6.0,57,188,653
4882,Potato,86,26.3,74.9,13.7,5.1,25.8,111,211,720
4883,Orange,340,6.9,33.9,29.3,6.5,19.8,661,40,304
4884,Pork Chop,380,7.0,38.6,31.5,4.5,42.1,432,69,496
4885,Coffee,535,17.3,73.2,41.2,8.9,26.7,677,174,983
4886,Milkshake,95,7.4,76.9,26.6,8.1,33.4,321,206,456
4887,Butter,312,13.1,36.0,3.6,2.0,28.1,803,107,650
4888,Quinoa,224,2.6,37.2,29.2,6.0,14.3,610,69,323
4889,Popcorn,553,29.9,95.8,4.4,0.5,8.9,81,256,389
4890,Broccoli,528,43.3,57.7,31.0,2.9,4.2,666,192,532
4891,Paneer,421,22.2,34.1,10.0,4.5,41.3,885,122,661
4892,Cookies,415,38.8,48.4,21.4,6.4,34.4,818,270,552
4893,Strawberry,527,9.5,26.7,46.4,6.9,37.0,711,252,333
4894,Chips,199,9.6,38.8,1.0,7.6,40.7,36,81,102
4895,Eggs,299,14.1,26.0,7.5,4.4,39.7,319,237,532
4896,Butter,390,19.4,35.3,21.1,3.8,2.1,861,50,584
4897,Apple,194,25.9,78.9,19.3,3.1,7.1,207,284,551
4898,Yogurt,303,23.7,21.6,7.7,5.4,9.1,951,217,621
4899,Chips,251,49.4,15.6,22.7,5.7,0.3,66,206,278
4900,Cookies,258,15.9,79.5,9.3,6.5,49.0,810,89,692
4901,Apple,74,11.1,40.6,5.3,0.1,34.6,14,208,184
4902,Orange Juice,469,42.7,16.6,47.2,2.7,31.3,653,126,810
4903,Tomato,497,34.6,91.7,4.9,3.6,11.8,78,240,848
4904,Orange,255,43.6,37.1,30.4,3.7,19.0,820,113,517
4905,Pork Chop,328,30.1,6.9,34.9,3.9,28.3,904,139,749
4906,Water,60,43.1,63.9,47.3,1.1,9.6,401,103,549
4907,Chicken Breast,596,32.4,50.2,32.6,1.2,24.6,40,223,680
4908,Strawberry,561,46.7,80.2,42.5,2.4,19.1,371,208,493
4909,Rice,62,17.6,46.5,47.2,6.3,18.6,323,262,207
4910,Yogurt,556,21.3,34.9,48.4,7.0,16.5,232,292,415
4911,Salmon,60,12.9,57.1,22.9,3.1,44.9,981,232,662
4912,Paneer,314,11.4,12.2,42.3,3.2,0.2,830,178,433
4913,Milk,70,10.6,46.1,38.6,2.4,10.0,302,238,278
4914,Green Tea,272,42.7,40.6,26.9,3.2,10.3,229,166,614
4915,Pork Chop,478,10.0,18.3,47.1,1.4,12.0,241,97,727
4916,Apple,376,44.3,74.7,42.5,1.6,29.0,791,201,205
4917,Salmon,218,35.0,20.2,7.2,3.1,23.7,905,207,552
4918,Broccoli,281,3.3,88.3,6.8,3.7,0.8,25,212,406
4919,Popcorn,496,7.0,68.3,3.2,1.0,25.1,835,93,735
4920,Quinoa,297,9.7,33.3,39.7,3.7,20.1,402,133,980
4921,Carrot,190,15.8,67.4,13.7,9.2,1.6,234,260,947
4922,Milk,85,26.3,65.0,6.2,1.8,35.1,468,190,703
4923,Grapes,431,45.0,24.6,7.1,4.2,47.9,223,224,687
4924,Chocolate,288,33.5,19.1,37.4,1.6,26.5,496,215,384
4925,Grapes,284,5.8,25.7,40.7,0.0,6.6,461,52,503
4926,Pork Chop,282,8.4,72.0,48.6,9.6,49.1,671,92,959
4927,Green Tea,377,12.9,79.7,44.4,1.3,24.8,617,80,609
4928,Oats,567,35.6,41.1,37.5,9.4,10.8,391,214,932
4929,Cookies,542,46.0,81.3,10.4,5.1,11.8,796,89,980
4930,Grapes,149,25.3,96.7,7.6,3.8,24.0,494,251,315
4931,Pasta,544,26.0,8.8,7.5,2.0,4.9,895,155,795
4932,Orange Juice,122,40.4,47.9,6.1,2.0,20.6,445,199,197
4933,Spinach,248,29.8,60.5,42.1,3.7,29.6,73,120,627
4934,Chips,564,45.6,7.1,40.9,7.4,41.8,457,141,586
4935,Chicken Breast,594,9.0,12.9,2.5,1.4,6.3,270,299,398
4936,Pasta,459,4.3,11.1,19.6,2.4,26.8,721,192,318
4937,Orange,303,44.0,67.9,33.3,6.5,49.4,461,182,603
4938,Yogurt,60,4.0,14.5,48.5,9.4,34.3,352,18,146
4939,Salmon,216,10.8,78.5,20.0,9.1,14.8,400,159,888
4940,Paneer,520,1.7,81.9,45.6,3.9,31.9,146,139,266
4941,Grapes,441,15.0,54.9,39.5,8.2,42.9,611,12,647
4942,Pork Chop,228,13.7,48.8,45.7,8.7,49.5,34,235,786
4943,Beef Steak,383,40.4,90.4,6.4,6.6,47.5,648,189,382
4944,Potato,80,3.6,79.4,20.3,6.7,15.5,945,138,772
4945,Milkshake,393,49.2,78.7,21.7,1.9,33.8,985,176,797
4946,Oats,342,1.9,89.6,43.3,8.7,11.8,779,62,319
4947,Chips,494,15.3,62.5,21.4,2.0,9.8,697,61,807
4948,Nuts,316,10.5,18.2,13.2,1.8,38.4,571,184,316
4949,Pasta,407,13.1,64.6,18.6,3.6,14.3,870,115,308
4950,Tomato,301,3.0,82.3,11.1,7.2,43.8,317,136,225
4951,Nuts,534,27.4,5.8,23.8,4.3,1.3,132,83,994
4952,Carrot,417,41.7,34.2,24.2,2.2,32.3,122,41,355
4953,Broccoli,197,12.1,61.3,10.1,0.2,32.0,488,113,333
4954,Milkshake,571,21.8,63.1,37.2,2.8,46.8,347,25,287
4955,Potato,452,47.6,85.9,2.2,1.4,6.5,976,78,565
4956,Orange,201,9.6,57.9,43.8,6.5,48.4,299,46,429
4957,Cookies,464,47.3,27.9,32.4,8.6,43.5,952,183,422
4958,Popcorn,288,20.8,10.0,10.0,0.1,32.7,936,70,707
4959,Orange Juice,246,40.0,23.0,33.3,9.8,13.7,341,252,665
4960,Orange Juice,383,6.9,90.3,19.6,5.2,17.4,816,210,767
4961,Potato,234,44.7,49.9,18.1,4.0,23.5,239,199,609
4962,Broccoli,68,35.9,71.7,1.4,5.1,3.1,156,195,563
4963,Salmon,464,29.3,53.4,16.3,3.8,35.7,271,175,673
4964,Banana,115,23.5,14.7,5.2,2.7,7.0,789,136,725
4965,Carrot,528,42.3,76.9,42.7,6.6,36.6,688,149,728
4966,Eggs,584,46.3,11.2,29.4,5.9,16.8,68,154,519
4967,Grapes,462,49.6,20.7,33.9,2.7,40.9,660,177,745
4968,Eggs,114,23.7,52.2,24.7,9.8,10.8,31,149,167
4969,Quinoa,152,21.3,66.5,38.3,1.5,16.2,766,81,859
4970,Eggs,324,6.2,7.0,45.0,7.2,26.9,644,165,871
4971,Nuts,87,8.8,8.9,40.8,6.2,15.0,512,236,982
4972,Oats,82,5.1,15.1,17.4,6.2,0.7,408,115,806
4973,Milkshake,545,21.4,94.2,37.4,1.5,18.5,954,252,536
4974,Chips,396,47.0,67.0,38.5,1.4,37.6,3,243,259
4975,Pork Chop,568,33.2,30.1,31.6,4.3,1.2,661,187,814
4976,Banana,464,37.9,77.9,12.0,4.7,36.7,92,251,754
4977,Milkshake,350,14.3,78.6,44.5,4.0,15.5,844,44,186
4978,Tomato,229,44.7,66.3,49.0,1.3,17.6,667,194,444
4979,Milkshake,114,19.2,17.8,33.0,1.2,19.4,777,12,973
4980,Nuts,92,21.8,78.8,32.0,5.2,46.0,686,245,398
4981,Orange,122,28.7,85.6,6.4,6.1,19.2,73,90,246
4982,Rice,554,49.3,56.3,5.6,7.0,1.0,268,236,445
4983,Butter,294,15.9,57.9,24.6,8.4,32.9,538,131,987
4984,Yogurt,73,14.4,52.5,12.1,2.8,29.8,361,49,239
4985,Grapes,433,33.5,32.0,37.8,9.4,34.1,671,64,414
4986,Oats,241,10.8,71.9,5.5,8.9,17.3,854,190,286
4987,Cheese,507,19.2,32.8,13.4,1.7,38.9,7,180,153
4988,Orange,185,18.8,26.2,41.0,3.8,26.8,453,180,379
4989,Broccoli,387,38.2,61.8,30.6,2.6,47.3,926,243,733
4990,Rice,344,32.5,90.6,49.0,6.5,35.6,915,195,842
4991,Popcorn,264,47.3,12.5,24.7,9.4,23.1,644,283,401
4992,Broccoli,68,25.2,34.0,9.9,0.4,37.2,989,173,695
4993,Chocolate,226,35.1,55.6,31.6,7.9,39.6,81,71,531
4994,Broccoli,543,1.0,14.0,21.2,5.6,47.9,888,164,983
4995,Potato,584,37.5,95.0,48.0,3.0,33.8,266,210,359
4996,Tomato,483,19.7,69.1,22.5,7.2,27.2,195,26,994
4997,Coffee,577,16.2,25.7,17.0,5.4,38.8,553,252,390
4998,Chips,597,24.5,75.8,5.1,3.1,9.0,334,269,549
4999,Milk,566,11.7,20.2,41.4,9.5,3.3,272,23,416
5000,Potato,593,44.9,48.7,19.4,3.9,1.4,424,181,123
5001,Broccoli,523,21.0,83.0,15.8,4.9,2.1,757,167,395
5002,Grapes,572,25.7,35.4,34.7,3.2,41.1,802,227,897
5003,Cheese,457,26.5,56.4,8.0,8.7,9.6,918,116,769
5004,Chocolate,512,43.2,43.6,2.6,3.5,21.7,862,5,243
5005,Banana,104,36.1,69.9,41.8,6.2,7.5,376,299,447
5006,Nuts,417,21.9,25.6,23.6,8.9,38.6,317,37,144
5007,Salmon,348,34.2,65.4,8.7,1.5,48.1,387,234,526
5008,Pasta,153,25.1,87.8,48.8,5.0,3.6,2,1,734
5009,Pasta,135,20.8,7.6,28.1,7.1,39.1,322,224,874
5010,Paneer,70,42.7,80.4,7.2,7.7,3.2,751,69,980
5011,Yogurt,201,3.6,22.4,23.3,2.4,46.0,849,244,947
5012,Milk,482,40.3,92.7,49.8,8.6,16.1,172,62,719
5013,Paneer,156,15.9,88.3,9.4,3.3,40.8,816,168,300
5014,Quinoa,462,4.5,61.1,46.1,0.8,1.4,334,221,606
5015,Chips,62,23.1,74.8,35.7,6.9,33.5,911,234,261
5016,Salmon,528,43.3,55.1,42.8,6.4,23.9,887,137,625
5017,Coffee,576,27.2,61.3,17.5,2.0,14.0,436,285,283
5018,Pasta,213,14.2,67.0,11.8,5.6,15.4,591,112,195
5019,Milkshake,473,30.3,60.1,25.9,5.0,0.2,622,190,657
5020,Bread,375,15.1,55.6,41.1,6.2,34.9,18,237,863
5021,Broccoli,158,27.8,57.7,25.2,1.4,40.5,816,42,835
5022,Chicken Breast,512,28.4,72.4,25.1,6.8,23.5,882,133,649
5023,Tomato,149,40.3,37.2,15.1,3.8,36.6,635,286,536
5024,Pork Chop,489,9.7,48.3,21.8,7.5,47.4,623,291,350
5025,Strawberry,299,12.9,10.8,18.6,2.8,24.8,877,58,333
5026,Coffee,491,34.9,72.7,47.0,3.6,25.3,506,42,365
5027,Popcorn,169,29.9,36.9,23.6,8.1,41.5,633,290,387
5028,Water,451,45.3,77.6,15.2,5.4,37.4,128,255,941
5029,Rice,501,25.1,54.7,49.5,9.1,25.9,563,58,250
5030,Banana,533,22.7,75.7,30.7,5.2,38.3,429,124,357
5031,Banana,471,27.6,70.6,34.8,0.4,9.7,245,63,502
5032,Butter,343,36.2,47.5,25.9,4.0,28.2,960,238,288
5033,Orange,420,5.1,58.6,26.8,7.3,15.0,981,180,140
5034,Tomato,329,38.4,37.6,26.8,4.0,8.5,419,82,522
5035,Pasta,284,21.6,21.6,37.0,8.2,19.2,667,79,948
5036,Rice,588,32.4,97.3,49.0,2.9,37.7,71,244,143
5037,Cookies,208,16.4,52.8,33.8,3.8,35.0,911,35,555
5038,Nuts,541,33.1,22.9,39.3,9.2,40.7,670,64,300
5039,Chocolate,566,46.2,27.2,20.1,6.7,2.6,878,78,384
5040,Milkshake,138,22.1,69.3,16.8,2.1,24.2,234,138,357
5041,Nuts,139,22.6,93.7,35.2,2.3,33.4,736,59,125
5042,Coffee,58,10.3,28.4,31.1,5.0,5.4,941,73,135
5043,Popcorn,587,40.0,51.6,36.8,6.1,4.4,365,192,851
5044,Chocolate,205,26.8,70.1,14.8,6.9,6.3,273,69,782
5045,Eggs,470,33.3,29.8,4.4,9.6,9.9,164,276,604
5046,Tomato,205,12.0,47.1,15.3,5.7,39.9,599,199,491
5047,Paneer,527,16.2,15.9,12.8,7.7,47.1,252,276,627
5048,Grapes,230,7.1,90.3,23.3,5.2,4.5,399,202,549
5049,Beef Steak,591,7.6,92.6,1.6,7.8,6.4,691,263,429
5050,Pasta,286,40.8,58.2,42.6,2.7,17.9,317,204,704
5051,Cookies,276,9.5,75.3,25.8,0.5,27.3,923,284,238
5052,Cheese,118,30.6,99.4,30.1,8.0,10.0,818,55,751
5053,Popcorn,556,47.2,22.1,33.1,2.2,39.0,757,235,669
5054,Strawberry,231,11.8,98.8,44.3,5.2,3.2,209,50,162
5055,Salmon,63,17.9,69.6,31.7,3.2,43.9,60,251,143
5056,Potato,561,45.5,79.6,46.9,8.2,42.9,400,232,146
5057,Oats,432,42.1,97.6,15.2,9.1,26.4,530,119,774
5058,Rice,564,14.0,22.6,36.8,3.2,34.9,168,173,770
5059,Rice,437,37.4,67.0,49.5,0.8,11.9,945,139,252
5060,Chips,171,11.9,30.1,4.2,3.2,5.5,850,254,153
5061,Chicken Breast,279,6.8,21.0,5.8,8.6,46.6,539,153,389
5062,Yogurt,194,38.3,49.7,40.5,0.1,30.4,913,149,688
5063,Spinach,469,4.9,28.7,20.6,5.8,24.1,1000,107,552
5064,Water,273,8.1,29.0,29.2,3.9,5.7,856,118,223
5065,Salmon,218,29.3,13.7,30.3,8.0,39.5,152,269,947
5066,Broccoli,246,11.3,56.1,34.1,8.8,39.3,738,25,530
5067,Beef Steak,211,45.4,74.1,16.4,3.3,13.7,786,144,905
5068,Chicken Breast,216,13.3,56.9,46.1,5.2,2.3,836,121,982
5069,Cookies,236,28.0,46.1,25.0,9.3,7.1,308,74,721
5070,Coffee,257,7.2,73.7,9.0,6.7,11.1,816,244,937
5071,Carrot,565,1.6,71.1,29.9,0.2,5.0,5,48,459
5072,Eggs,552,16.3,80.3,11.4,4.0,20.3,556,114,742
5073,Potato,488,30.0,27.3,27.2,8.6,15.4,327,199,774
5074,Yogurt,124,44.9,48.1,3.6,9.7,0.2,385,207,663
5075,Green Tea,505,26.9,11.5,37.5,2.8,33.5,77,25,994
5076,Coffee,543,36.7,71.6,49.1,0.9,23.8,622,281,756
5077,Chips,417,37.2,47.7,34.6,3.9,26.2,216,290,735
5078,Green Tea,403,21.1,65.0,47.4,6.8,43.4,513,239,764
5079,Cheese,308,20.4,64.9,6.4,8.8,0.3,695,103,989
5080,Chips,455,37.2,81.3,49.2,5.0,21.2,208,249,577
5081,Cookies,244,36.5,6.8,9.5,4.9,10.7,215,249,209
5082,Popcorn,358,27.6,88.6,37.4,7.6,15.6,316,90,959
5083,Popcorn,122,9.2,72.1,15.2,4.1,13.0,404,46,290
5084,Apple,107,23.0,78.2,11.5,7.8,31.6,622,110,170
5085,Cookies,563,24.7,92.3,18.6,8.4,8.8,339,213,693
5086,Beef Steak,487,31.6,15.5,11.2,7.0,5.8,681,251,660
5087,Cookies,349,25.9,78.1,8.1,0.5,13.6,303,118,817
5088,Tomato,180,8.7,46.7,15.9,2.6,47.3,25,93,817
5089,Yogurt,156,19.8,91.3,40.1,3.1,34.6,440,84,503
5090,Pork Chop,562,12.9,7.6,49.9,8.5,42.6,116,226,274
5091,Banana,495,30.5,34.1,42.3,4.8,49.2,210,283,775
5092,Orange Juice,488,43.8,17.6,8.7,6.2,48.9,946,235,321
5093,Cheese,119,47.4,68.2,43.6,8.1,27.2,937,241,401
5094,Cheese,471,48.0,98.0,6.8,2.6,30.5,225,7,782
5095,Apple,511,45.6,90.7,9.7,3.3,42.1,529,99,623
5096,Water,423,29.7,83.2,1.0,3.4,30.9,704,150,905
5097,Broccoli,188,48.4,58.6,14.8,3.9,36.5,340,276,254
5098,Cookies,65,7.4,34.0,16.8,7.2,21.3,882,212,538
5099,Pasta,310,40.8,86.4,22.1,7.0,17.3,563,225,609
5100,Broccoli,259,48.3,54.1,37.8,3.2,40.1,516,280,355
5101,Orange Juice,538,22.4,58.5,44.6,0.3,41.7,704,196,558
5102,Chocolate,293,22.3,54.4,42.2,8.0,22.7,811,250,649
5103,Butter,385,30.3,21.2,15.3,4.8,24.4,390,282,103
5104,Chicken Breast,150,26.1,52.8,1.1,8.3,48.5,882,173,639
5105,Rice,517,12.6,55.3,13.6,9.2,42.1,139,84,962
5106,Cheese,341,8.3,98.2,41.6,2.4,17.2,263,8,243
5107,Orange,580,9.4,82.8,39.4,4.3,11.2,435,83,284
5108,Rice,561,17.0,23.8,7.8,9.6,3.5,131,118,771
5109,Potato,336,10.9,41.2,44.0,5.0,0.5,946,273,814
5110,Paneer,106,8.1,42.5,38.3,8.3,17.8,728,6,613
5111,Orange,166,27.1,25.9,36.9,0.2,22.1,970,127,727
5112,Butter,142,28.1,25.1,11.6,5.3,24.8,96,256,455
5113,Orange Juice,363,15.9,14.2,39.2,6.5,8.0,623,59,916
5114,Eggs,518,48.8,40.4,10.1,4.1,32.9,412,143,621
5115,Paneer,543,27.0,25.0,2.2,1.2,27.0,361,183,325
5116,Chicken Breast,268,8.6,41.7,36.9,6.9,43.4,582,164,379
5117,Milk,248,19.4,56.5,41.7,7.5,18.5,636,39,589
5118,Orange,383,12.2,79.9,6.3,5.6,45.5,89,40,276
5119,Milk,442,47.7,48.7,32.2,5.4,1.1,18,178,325
5120,Coffee,269,43.0,27.2,21.8,6.9,22.7,277,221,684
5121,Cookies,600,38.5,37.6,32.0,9.7,46.9,449,167,111
5122,Milk,570,38.6,13.3,25.6,5.3,38.6,592,137,911
5123,Milkshake,284,6.0,14.4,25.9,8.7,23.3,449,180,538
5124,Yogurt,410,12.9,77.7,6.2,7.7,6.3,104,0,219
5125,Banana,521,8.9,43.8,31.7,5.8,18.6,525,245,504
5126,Bread,469,29.3,85.4,23.8,2.1,3.9,529,156,600
5127,Popcorn,320,9.1,57.8,49.0,6.9,13.0,310,171,600
5128,Butter,296,31.1,19.9,9.0,1.3,38.4,166,276,575
5129,Orange Juice,277,40.8,42.2,13.3,4.2,8.2,176,6,220
5130,Beef Steak,94,9.7,24.5,30.3,3.2,7.3,661,52,639
5131,Grapes,328,47.4,5.1,16.0,2.9,5.9,946,169,991
5132,Beef Steak,134,2.2,15.4,12.6,8.3,21.3,587,154,929
5133,Carrot,412,20.5,96.9,21.6,9.2,48.2,41,72,725
5134,Oats,347,45.3,31.7,37.9,9.6,5.7,79,291,327
5135,Popcorn,496,12.4,52.1,36.2,8.0,20.2,548,265,872
5136,Milkshake,512,44.0,11.5,9.7,5.3,42.7,564,191,777
5137,Oats,170,46.9,44.0,18.8,8.1,25.6,974,295,285
5138,Cheese,55,40.1,70.0,7.8,2.9,29.3,230,289,417
5139,Cheese,382,14.2,99.7,6.7,4.2,11.3,782,206,755
5140,Pasta,272,14.7,61.6,35.8,0.2,4.8,823,79,517
5141,Orange,280,13.3,90.3,47.2,1.5,21.4,723,286,746
5142,Pork Chop,149,3.6,73.9,45.1,4.9,5.6,645,226,742
5143,Banana,406,41.4,11.0,39.4,0.4,13.6,106,215,328
5144,Strawberry,262,48.1,35.3,16.9,2.5,6.6,760,230,255
5145,Potato,242,49.2,87.8,12.1,10.0,34.6,912,4,565
5146,Orange Juice,348,30.7,21.6,46.7,3.8,27.8,44,296,601
5147,Oats,81,44.6,86.9,47.7,7.0,18.0,58,126,745
5148,Milkshake,434,36.6,92.3,39.9,4.3,10.7,733,211,847
5149,Pork Chop,409,22.7,21.6,48.5,5.7,2.9,435,181,550
5150,Broccoli,300,24.6,96.1,23.2,5.6,10.2,248,268,415
5151,Milkshake,444,12.9,68.7,10.6,4.5,5.3,692,253,186
5152,Apple,340,33.9,28.5,43.1,3.4,7.3,545,242,992
5153,Beef Steak,550,19.1,47.9,22.0,1.4,27.7,688,179,220
5154,Nuts,383,48.1,83.9,17.7,3.9,6.0,466,151,217
5155,Banana,221,36.7,66.2,33.6,0.6,19.3,435,197,549
5156,Strawberry,464,19.8,98.5,15.7,1.7,15.0,652,122,142
5157,Chocolate,226,24.2,45.4,3.7,5.0,37.2,596,114,476
5158,Tomato,215,23.0,45.7,49.1,8.3,45.1,882,12,106
5159,Pasta,514,28.7,28.8,17.7,1.6,39.3,720,148,868
5160,Pork Chop,293,1.3,82.4,23.3,6.2,29.4,95,95,229
5161,Milk,540,2.4,78.9,48.5,5.9,36.7,737,252,209
5162,Milk,186,45.4,36.8,44.8,2.4,14.1,554,119,735
5163,Salmon,549,35.1,84.8,26.4,0.2,45.9,331,153,891
5164,Yogurt,382,35.3,50.5,5.5,8.8,2.4,543,108,947
5165,Water,317,42.9,44.9,3.0,2.9,40.0,562,170,220
5166,Water,133,44.4,76.9,39.0,0.1,15.3,909,81,737
5167,Nuts,68,32.8,43.4,40.2,2.9,22.6,551,62,245
5168,Rice,222,17.4,51.6,39.0,4.9,25.7,325,272,972
5169,Milkshake,130,39.0,80.1,15.7,6.1,5.2,239,251,565
5170,Eggs,488,4.6,31.6,8.2,2.7,32.7,93,118,602
5171,Salmon,86,21.2,38.1,49.1,6.2,41.8,896,131,214
5172,Milk,459,9.6,70.8,4.2,7.2,8.3,718,205,815
5173,Cookies,361,31.3,5.7,15.7,7.4,28.1,867,183,247
5174,Eggs,510,45.9,26.3,43.3,7.9,0.8,641,282,446
5175,Yogurt,381,22.1,98.8,40.8,6.3,3.1,916,268,907
5176,Popcorn,258,15.8,28.7,11.7,3.3,1.0,359,136,344
5177,Rice,517,33.7,59.1,36.7,3.8,41.2,291,276,689
5178,Salmon,460,8.9,88.0,12.2,1.2,17.8,565,293,814
5179,Popcorn,131,27.0,25.1,8.3,5.0,12.4,944,241,718
5180,Grapes,253,40.2,62.3,39.6,5.8,3.8,713,256,203
5181,Milkshake,428,14.1,85.3,7.3,1.0,42.3,707,37,746
5182,Milkshake,559,33.9,21.6,5.9,7.8,19.3,932,289,810
5183,Salmon,113,30.7,81.4,30.5,9.4,1.7,753,200,433
5184,Grapes,496,5.3,42.6,35.6,6.2,18.2,735,277,369
5185,Paneer,577,19.5,22.8,8.1,0.3,43.9,722,173,975
5186,Broccoli,389,21.0,95.2,2.6,6.3,7.7,303,16,663
5187,Banana,205,43.8,78.6,20.6,8.1,33.4,528,270,395
5188,Banana,429,39.8,97.1,39.1,0.3,20.2,861,123,900
5189,Oats,392,41.3,34.0,38.2,3.0,7.3,936,104,675
5190,Chips,136,47.9,48.7,37.0,5.2,12.2,950,178,729
5191,Water,88,37.1,29.4,31.9,3.1,25.6,638,165,527
5192,Eggs,497,32.3,43.2,22.3,5.7,22.7,580,169,720
5193,Strawberry,101,5.8,14.2,4.3,7.7,2.7,366,218,520
5194,Chocolate,509,12.8,76.5,29.9,6.6,42.6,121,234,600
5195,Rice,378,20.1,30.7,25.9,9.8,35.0,181,208,905
5196,Strawberry,119,44.5,73.0,6.3,2.4,20.0,667,23,454
5197,Beef Steak,289,20.1,49.7,29.4,2.3,37.3,428,231,754
5198,Rice,590,47.2,11.5,11.3,0.2,43.5,959,27,701
5199,Oats,454,36.7,54.2,45.8,8.6,24.2,959,226,903
5200,Strawberry,381,26.9,41.3,30.9,5.0,38.1,111,245,281
5201,Oats,590,19.6,11.6,17.9,5.2,42.1,74,11,894
5202,Chicken Breast,302,4.5,27.4,42.5,6.9,8.1,779,279,713
5203,Apple,224,23.1,92.6,44.6,6.0,47.3,598,286,419
5204,Beef Steak,442,16.8,26.1,22.8,1.0,24.4,359,281,417
5205,Pork Chop,425,17.8,63.2,5.7,7.2,46.5,972,97,326
5206,Potato,300,39.6,62.2,26.5,4.2,34.7,443,38,198
5207,Green Tea,185,42.7,90.4,4.0,7.9,27.9,97,290,549
5208,Banana,418,49.4,58.6,48.0,0.2,26.5,545,26,604
5209,Chicken Breast,238,23.4,23.2,30.5,2.2,32.4,950,254,964
5210,Green Tea,504,19.3,67.5,21.3,4.2,42.3,356,141,651
5211,Potato,365,28.9,66.4,21.1,8.5,4.2,718,119,562
5212,Chicken Breast,521,39.3,52.8,32.9,2.7,26.0,678,66,177
5213,Paneer,114,43.4,94.0,26.4,3.6,19.5,216,171,781
5214,Banana,534,46.8,41.0,5.9,8.3,37.3,647,121,126
5215,Chicken Breast,385,1.2,23.0,31.9,1.0,10.6,911,109,275
5216,Popcorn,508,2.9,70.9,10.8,6.8,35.0,233,205,677
5217,Paneer,506,22.6,24.9,17.6,8.5,40.2,905,128,386
5218,Strawberry,282,14.3,74.5,35.7,4.4,20.3,232,118,544
5219,Beef Steak,80,30.6,17.4,30.1,6.8,48.6,986,17,244
5220,Rice,343,4.7,6.9,13.3,0.1,18.4,768,70,666
5221,Nuts,117,41.5,79.1,5.3,9.2,47.2,263,87,734
5222,Carrot,581,42.6,7.7,36.6,9.4,31.7,766,226,513
5223,Quinoa,454,19.5,64.5,44.3,7.0,41.4,744,222,206
5224,Rice,500,48.2,86.2,28.4,3.7,5.1,339,20,387
5225,Pork Chop,194,1.5,47.6,34.0,7.8,32.6,775,125,297
5226,Milk,416,44.1,71.8,12.7,6.2,27.8,548,146,967
5227,Beef Steak,251,33.1,81.3,26.9,3.9,48.8,814,219,945
5228,Grapes,182,30.5,61.9,32.0,9.9,44.6,848,229,379
5229,Pork Chop,60,41.1,54.3,11.4,1.7,8.6,293,73,962
5230,Eggs,142,17.6,91.6,32.2,1.3,17.9,944,299,871
5231,Milkshake,160,15.9,66.2,16.7,1.1,26.1,963,93,935
5232,Oats,156,11.9,46.7,26.9,8.0,39.9,576,242,491
5233,Milk,139,37.8,27.9,48.7,5.5,27.2,625,231,187
5234,Strawberry,249,14.7,16.9,40.6,0.6,34.2,443,154,421
5235,Chicken Breast,74,29.6,75.4,7.0,1.3,9.3,902,247,259
5236,Milkshake,567,24.0,46.1,16.3,2.6,11.1,807,86,144
